Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age
Albert Vallci,Centre-Back,1995-07-02,"1,91m",right,2022-08-04,2025-06-30,1.0,FC St. Gallen 1879,257,28
Jozo Stanic ,Centre-Back,1999-04-06,"1,84m",right,2023-09-02,2025-06-30,0.7,FC St. Gallen 1879,257,25
Abdoulaye Diaby,Centre-Back,2000-07-04,"1,98m",right,2023-07-01,2025-06-30,0.7,FC St. Gallen 1879,257,23
Justin Janitzek,Centre-Back,2004-02-10,"1,92m",right,2023-07-01,2024-06-30,0.2,FC St. Gallen 1879,257,20
Musah Nuhu,Centre-Back,1997-01-17,"1,95m",right,2019-07-01,2024-06-30,0.1,FC St. Gallen 1879,257,27
Isaac Schmidt,Left-Back,1999-12-07,"1,72m",right,2021-07-01,2026-06-30,1.4,FC St. Gallen 1879,257,24
Chima Okoroji,Left-Back,1997-04-19,"1,78m",left,2023-07-22,2025-06-30,1.0,FC St. Gallen 1879,257,26
Mattia Zanotti,Right-Back,2003-01-11,"1,75m",right,2023-07-03,2024-06-30,3.0,FC St. Gallen 1879,257,21
Patrick Sutter,Right-Back,1999-01-18,"1,72m",right,2021-07-01,2024-06-30,0.3,FC St. Gallen 1879,257,25
Jordi Quintillà,Defensive Midfield,1993-10-25,"1,81m",left,2022-01-22,2025-06-30,1.0,FC St. Gallen 1879,257,30
Betim Fazliji ,Defensive Midfield,1999-04-25,"1,86m",right,2023-07-01,2027-06-30,0.7,FC St. Gallen 1879,257,24
Corsin Konietzke,Defensive Midfield,2006-06-21,"1,85m",right,,2024-06-30,0.2,FC St. Gallen 1879,257,17
Bastien Toma,Central Midfield,1999-06-24,"1,74m",right,2023-09-07,2025-06-30,1.0,FC St. Gallen 1879,257,24
Mihailo Stevanovic,Central Midfield,2002-01-04,"1,86m",right,2023-07-01,2025-06-30,0.8,FC St. Gallen 1879,257,22
Lukas Görtler ,Right Midfield,1994-06-15,"1,86m",right,2019-07-08,2026-06-30,2.0,FC St. Gallen 1879,257,29
Christian Witzig,Left Midfield,2001-01-09,"1,78m",right,2021-07-01,2027-06-30,1.7,FC St. Gallen 1879,257,23
Víctor Ruiz,Attacking Midfield,1993-11-02,"1,73m",right,2024-02-14,2024-06-30,0.5,FC St. Gallen 1879,257,30
Grégory Karlen,Attacking Midfield,1995-01-30,"1,87m",right,2022-08-03,2025-06-30,0.2,FC St. Gallen 1879,257,29
Richard van der Venne ,Attacking Midfield,1992-05-16,"1,73m",left,2023-07-05,2025-06-30,0.1,FC St. Gallen 1879,257,31
Felix Mambimbi ,Left Winger,2001-01-18,"1,71m",right,2023-09-02,2025-06-30,0.5,FC St. Gallen 1879,257,23
Julian Von Moos,Right Winger,2001-04-01,"1,81m",left,2022-01-03,2024-06-30,1.8,FC St. Gallen 1879,257,23
Chadrac Akolo,Right Winger,1995-04-01,"1,72m",right,2022-07-03,2024-06-30,0.9,FC St. Gallen 1879,257,29
Albin Krasniqi,Right Winger,2003-04-06,"1,80m",right,,2024-06-30,0.5,FC St. Gallen 1879,257,21
Willem Geubbels,Centre-Forward,2001-08-16,"1,85m",right,2023-01-23,2025-06-30,2.5,FC St. Gallen 1879,257,22
Nikolaj Möller ,Centre-Forward,2002-07-20,"1,94m",right,2023-07-01,2027-06-30,0.6,FC St. Gallen 1879,257,21
Fabian Schubert,Centre-Forward,1994-08-29,"1,94m",right,2021-07-01,2024-06-30,0.5,FC St. Gallen 1879,257,29
Jovan Milosevic,Centre-Forward,2005-07-31,"1,90m",right,2024-02-13,2024-06-30,0.5,FC St. Gallen 1879,257,18
Yanick Brecher ,Goalkeeper,1993-05-25,"1,96m",right,2011-07-01,2027-06-30,0.8,FC Zürich,260,30
Zivko Kostadinovic,Goalkeeper,1992-04-10,"1,96m",right,2020-08-03,2025-06-30,0.2,FC Zürich,260,31
Alan Omerovic,Goalkeeper,2002-07-16,"1,85m",right,2023-07-01,2024-06-30,0.1,FC Zürich,260,21
Nikola Katic,Centre-Back,1996-10-10,"1,94m",right,2022-08-31,2026-06-30,1.5,FC Zürich,260,27
Lindrit Kamberi,Centre-Back,1999-10-07,"1,83m",right,2018-07-01,2028-06-30,1.0,FC Zürich,260,24
Silvan Wallner,Centre-Back,2002-01-15,"1,85m",right,2020-08-03,2025-06-30,0.3,FC Zürich,260,22
Fabio Daprelà,Centre-Back,1991-02-19,"1,83m",left,2023-07-01,2025-06-30,0.2,FC Zürich,260,33
Mirlind Kryeziu,Centre-Back,1997-01-26,"1,96m",left,2017-04-11,2025-06-30,0.2,FC Zürich,260,27
Marc Hornschuh,Centre-Back,1991-03-02,"1,88m",right,2021-07-09,2024-06-30,0.1,FC Zürich,260,33
Amadou Dante,Left-Back,2000-10-07,"1,78m",left,2024-02-08,2024-06-30,2.0,FC Zürich,260,23
Ramon Guzzo,Left-Back,2004-07-05,"1,76m",left,2023-01-03,2026-06-30,0.2,FC Zürich,260,19
Rodrigo Conceição,Right-Back,2000-01-02,"1,75m",right,2023-08-17,2027-06-30,1.2,FC Zürich,260,24
Selmin Hodza,Right-Back,2003-05-24,"1,78m",right,2022-09-14,2028-06-30,0.3,FC Zürich,260,20
Cheick Condé,Defensive Midfield,2000-07-26,"1,85m",right,2022-07-01,2027-06-30,3.0,FC Zürich,260,23
Ifeanyi Mathew,Central Midfield,1997-01-20,"1,75m",right,2023-02-15,2025-06-30,1.5,FC Zürich,260,27
Miguel Reichmuth,Central Midfield,2003-10-26,"1,71m",right,2022-09-14,2028-06-30,0.1,FC Zürich,260,20
Nikola Boranijasevic,Right Midfield,1992-05-19,"1,82m",right,2021-07-01,2024-06-30,0.3,FC Zürich,260,31
Adrián Guerrero,Left Midfield,1998-01-28,"1,74m",left,2021-07-01,2024-06-30,1.3,FC Zürich,260,26
Bledian Krasniqi,Attacking Midfield,2001-06-17,"1,73m",right,2018-07-03,2027-06-30,1.0,FC Zürich,260,22
Antonio Marchesano,Attacking Midfield,1991-01-18,"1,68m",right,2015-09-02,2024-06-30,0.3,FC Zürich,260,33
Nils Reichmuth,Attacking Midfield,2002-02-22,"1,75m",right,2020-06-18,2025-06-30,0.3,FC Zürich,260,22
Jonathan Okita,Left Winger,1996-10-05,"1,81m",right,2022-07-01,2025-06-30,2.0,FC Zürich,260,27
Armstrong Oko-Flex,Left Winger,2002-03-02,"1,86m",right,2023-08-14,2025-06-30,0.5,FC Zürich,260,22
Joseph Sabobo,Left Winger,2005-12-17,"1,67m",left,2024-01-16,2028-06-30,0.2,FC Zürich,260,18
Fabian Rohner,Right Winger,1998-08-17,"1,78m",right,2017-01-05,2025-06-30,0.3,FC Zürich,260,25
Daniel Afriyie,Second Striker,2001-06-26,"1,65m",right,2023-01-03,2026-06-30,1.0,FC Zürich,260,22
Junior Ligue,Centre-Forward,2005-03-21,"1,80m",left,2023-01-03,2028-06-30,0.7,FC Zürich,260,19
Labinot Bajrami,Centre-Forward,2005-06-04,"1,87m",right,,2024-06-30,0.4,FC Zürich,260,18
Ivan Santini,Centre-Forward,1989-05-21,"1,90m",right,2022-07-01,2024-06-30,0.1,FC Zürich,260,34
Justin Hammel,Goalkeeper,2000-12-02,"1,87m",right,2022-07-01,2025-06-30,1.0,Grasshopper Club Zurich,504,23
Manuel Kuttin,Goalkeeper,1993-12-17,"1,95m",right,2023-07-01,,0.2,Grasshopper Club Zurich,504,30
Nicolas Glaus,Goalkeeper,2002-05-10,"1,87m",right,2023-07-01,,0.1,Grasshopper Club Zurich,504,21
Steven Deana,Goalkeeper,1990-03-04,"1,90m",right,2024-02-15,,0.1,Grasshopper Club Zurich,504,34
Ayumu Seko,Centre-Back,2000-06-07,"1,85m",right,2022-01-18,2025-06-30,1.7,Grasshopper Club Zurich,504,23
Kristers Tobers ,Centre-Back,2000-12-13,"1,90m",right,2023-07-01,2025-06-30,0.8,Grasshopper Club Zurich,504,23
Maksim Paskotsi,Centre-Back,2003-01-19,"1,88m",right,2023-09-06,2026-06-30,0.5,Grasshopper Club Zurich,504,21
Joshua Laws,Centre-Back,1998-02-26,"1,85m",left,2023-08-15,2025-06-30,0.4,Grasshopper Club Zurich,504,26
Elvir Zukaj,Centre-Back,2002-07-07,"1,94m",right,,,0.1,Grasshopper Club Zurich,504,21
Théo Ndicka Matam,Left-Back,2000-04-20,"1,69m",left,2023-08-29,2025-06-30,0.5,Grasshopper Club Zurich,504,23
Florian Hoxha,Left-Back,2001-02-22,"1,77m",left,2021-07-01,2024-06-30,0.5,Grasshopper Club Zurich,504,23
Michael Kempter ,Left-Back,1995-01-12,"1,81m",left,2023-07-01,2025-06-30,0.3,Grasshopper Club Zurich,504,29
Dirk Abels,Right-Back,1997-06-13,"1,86m",right,2023-07-17,2025-06-30,0.6,Grasshopper Club Zurich,504,26
Liam Bollati,Right-Back,2003-11-09,"1,74m", ,2022-07-06,2024-06-30,0.3,Grasshopper Club Zurich,504,20
Tim Meyer,Defensive Midfield,2004-07-08,"1,83m",right,2023-08-24,2025-06-30,0.4,Grasshopper Club Zurich,504,19
Amir Abrashi ,Defensive Midfield,1990-03-27,"1,72m",right,2021-07-01,2025-06-30,0.2,Grasshopper Club Zurich,504,34
Tsiy Ndenge,Central Midfield,1997-06-13,"1,90m",left,2022-07-01,2025-06-30,1.5,Grasshopper Club Zurich,504,26
Noah Blasucci,Central Midfield,1999-06-19,"1,75m",right,,2024-06-30,0.1,Grasshopper Club Zurich,504,24
Filipe de Carvalho,Left Midfield,2003-12-01,"1,76m",right,2021-01-24,2025-06-30,1.0,Grasshopper Club Zurich,504,20
Robin Kalem,Left Midfield,2002-07-14,"1,81m",right,2020-06-17,2024-06-30,0.2,Grasshopper Club Zurich,504,21
Pascal Schürpf,Left Midfield,1989-07-15,"1,90m",right,2023-07-01,2024-06-30,0.1,Grasshopper Club Zurich,504,34
Dijon Kameri ,Attacking Midfield,2004-04-20,"1,84m",right,2024-02-08,2024-06-30,3.0,Grasshopper Club Zurich,504,19
Giotto Morandi,Attacking Midfield,1999-03-04,"1,81m",left,2019-07-01,2025-06-30,0.8,Grasshopper Club Zurich,504,25
Oliver Batista Meier,Attacking Midfield,2001-02-16,"1,80m",right,2024-02-02,2024-06-30,0.7,Grasshopper Club Zurich,504,23
Meritan Shabani ,Attacking Midfield,1999-03-15,"1,85m",right,2022-07-09,2024-06-30,0.3,Grasshopper Club Zurich,504,25
Awer Mabil ,Left Winger,1995-09-15,"1,78m",right,2023-08-21,2025-06-30,1.3,Grasshopper Club Zurich,504,28
Damian Nigg ,Left Winger,2005-04-12,"1,78m",right,,2024-06-30,0.2,Grasshopper Club Zurich,504,18
Francis Momoh,Centre-Forward,2001-03-25,"1,87m",right,2019-08-01,2024-06-30,0.9,Grasshopper Club Zurich,504,23
Bradley Fink,Centre-Forward,2003-04-17,"1,92m",left,2023-07-20,2024-06-30,0.7,Grasshopper Club Zurich,504,20
Dorian Babunski,Centre-Forward,1996-08-29,"1,86m",right,2023-08-28,2025-06-30,0.6,Grasshopper Club Zurich,504,27
Asumah Abubakar,Centre-Forward,1997-05-10,"1,83m",right,2024-01-29,2025-06-30,0.3,Grasshopper Club Zurich,504,26
Paul Bernardoni,Goalkeeper,1997-04-18,"1,93m",left,2024-01-21,2024-06-30,2.2,Yverdon Sport FC,322,26
Kevin Martin,Goalkeeper,1995-06-13,"1,80m",left,2018-07-01,2024-06-30,0.3,Yverdon Sport FC,322,28
Mirco Mazzeo,Goalkeeper,1999-12-15,"1,91m",right,2022-07-01,2024-06-30,0.1,Yverdon Sport FC,322,24
Breston Malula,Centre-Back,2000-10-31,"1,94m",right,2021-08-30,2025-06-30,0.5,Yverdon Sport FC,322,23
Mohamed Tijani,Centre-Back,1997-07-10,"1,90m",left,2023-07-17,2024-06-30,0.4,Yverdon Sport FC,322,26
Dario Del Fabro,Centre-Back,1995-03-24,"1,90m",right,2023-07-16,2026-06-30,0.4,Yverdon Sport FC,322,29
Christian Marques,Centre-Back,2003-01-15,"1,88m",right,2023-09-07,2025-06-30,0.3,Yverdon Sport FC,322,21
Niklas Gunnarsson,Centre-Back,1991-04-27,"1,88m",right,2023-08-15,2025-06-30,0.2,Yverdon Sport FC,322,32
Dimitrije Kamenovic,Left-Back,2000-07-16,"1,89m",left,2024-02-15,2024-06-30,0.5,Yverdon Sport FC,322,23
William Le Pogam ,Left-Back,1993-03-03,"1,83m",left,2020-08-03,2025-06-30,0.3,Yverdon Sport FC,322,31
Anthony Sauthier ,Right-Back,1991-02-05,"1,85m",right,2022-07-12,2025-06-30,0.2,Yverdon Sport FC,322,33
Luca Jaquenoud ,Right-Back,2002-05-21,"1,81m",right,2021-07-01,2024-06-30,0.1,Yverdon Sport FC,322,21
Boris Céspedes,Defensive Midfield,1995-06-19,"1,81m",right,2023-07-03,2025-06-30,0.6,Yverdon Sport FC,322,28
Samuel Oum Gouet,Defensive Midfield,1997-12-14,"1,85m",right,2023-07-26,2025-06-30,0.5,Yverdon Sport FC,322,26
Néhemie Lusuena,Defensive Midfield,1998-04-29,"1,75m",right,2016-07-01,2024-06-30,0.3,Yverdon Sport FC,322,25
Vladan Vidakovic,Defensive Midfield,1999-03-14,"1,93m",right,2024-01-22,2026-06-30,0.3,Yverdon Sport FC,322,25
Liziero ,Central Midfield,1998-02-07,"1,77m",left,2023-09-06,2024-06-30,1.5,Yverdon Sport FC,322,26
Mathias Olesen,Central Midfield,2001-03-21,"1,88m",both,2024-01-23,2024-06-30,1.2,Yverdon Sport FC,322,23
Dominic Corness ,Central Midfield,2003-05-05,"1,74m",right,2023-07-20,2024-06-30,0.5,Yverdon Sport FC,322,20
Ricardo Alves,Central Midfield,2001-12-02,"1,77m",left,2023-07-17,2025-06-30,0.3,Yverdon Sport FC,322,22
Silva ,Central Midfield,1995-09-07,"1,83m",right,2022-07-12,2025-06-30,0.3,Yverdon Sport FC,322,28
Alan Rodriguez,Central Midfield,2002-07-12,"1,78m",right,2022-07-01,2024-06-30,0.1,Yverdon Sport FC,322,21
Magnus Grødem ,Attacking Midfield,1998-08-14,"1,93m",right,2024-01-16,2026-06-30,1.2,Yverdon Sport FC,322,25
Hugo Fargues,Attacking Midfield,1992-04-16,"1,78m",left,2019-01-04,2024-06-30,0.1,Yverdon Sport FC,322,31
Marley Aké,Left Winger,2001-01-05,"1,78m",right,2024-01-18,2024-06-30,1.6,Yverdon Sport FC,322,23
Mihael Klepac ,Left Winger,1997-09-19,"1,84m",right,2023-07-18,2025-06-30,0.4,Yverdon Sport FC,322,26
Yannick Cotter,Left Winger,2002-01-03,"1,76m",left,2023-08-22,2025-06-30,0.1,Yverdon Sport FC,322,22
Varol Tasar ,Right Winger,1996-10-04,"1,74m",left,2023-07-19,2024-06-30,0.6,Yverdon Sport FC,322,27
Mauro Rodrigues,Right Winger,2001-04-15,"1,78m",right,2022-07-07,2024-06-30,0.4,Yverdon Sport FC,322,22
Johan Kury ,Right Winger,2001-10-07,"1,78m",right,2022-07-25,2025-06-30,0.1,Yverdon Sport FC,322,22
Kevin Carlos,Centre-Forward,2001-04-10,"1,86m",right,2024-01-03,,1.2,Yverdon Sport FC,322,22
Aimen Mahious,Centre-Forward,1997-09-15,"1,85m",right,2023-08-09,2026-06-30,1.0,Yverdon Sport FC,322,26
Christopher Lungoyi,Centre-Forward,2000-07-04,"1,82m",left,2023-08-11,2024-06-30,0.8,Yverdon Sport FC,322,23
Evans Maurin ,Centre-Forward,2001-03-30,"1,79m",left,2023-02-09,,0.4,Yverdon Sport FC,322,23
Jérémy Vachoux,Goalkeeper,1994-07-07,"1,83m",right,2023-07-26,2025-06-15,0.5,FC Stade-Lausanne-Ouchy,5499,29
Dany Da Silva,Goalkeeper,1993-03-02,"1,88m",right,2020-09-03,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,31
Sahmkou Camara,Centre-Back,2003-06-10,"1,93m",right,2023-07-01,2027-06-15,0.5,FC Stade-Lausanne-Ouchy,5499,20
Lucas Pos,Centre-Back,1998-02-16,"1,87m",right,2021-07-07,2025-06-30,0.4,FC Stade-Lausanne-Ouchy,5499,26
Lavdrim Hajrulahu ,Centre-Back,1998-03-07,"1,87m",right,2017-01-01,2024-06-30,0.4,FC Stade-Lausanne-Ouchy,5499,26
Dylan Ouedraogo,Centre-Back,1998-07-22,"1,85m",left,2023-08-08,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,25
Rayan Kadima,Centre-Back,1997-12-15,"1,87m",right,2021-07-01,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,26
Linus Obexer ,Left-Back,1997-06-05,"1,77m",left,2022-07-01,2024-06-30,0.3,FC Stade-Lausanne-Ouchy,5499,26
Michael Heule,Left-Back,2001-04-27,"1,72m",right,2023-07-14,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,22
Marc Fred Tsoungui,Left-Back,2002-07-30,"1,82m",left,2022-07-01,2025-06-30,0.2,FC Stade-Lausanne-Ouchy,5499,21
Ibrahim Diakité ,Right-Back,2003-10-31,"1,80m",right,2024-02-15,2024-06-30,0.9,FC Stade-Lausanne-Ouchy,5499,20
Mohamed Abdallah,Right-Back,1999-04-11,"1,67m",right,2021-07-03,2024-06-30,0.4,FC Stade-Lausanne-Ouchy,5499,24
Lamine Gassama,Right-Back,1989-10-20,"1,80m",right,2022-07-12,2024-06-30,0.1,FC Stade-Lausanne-Ouchy,5499,34
Giovani Bamba,Defensive Midfield,1999-07-02,"1,92m",right,2020-08-25,2024-06-30,0.4,FC Stade-Lausanne-Ouchy,5499,24
Valon Hamdiu,Defensive Midfield,1998-06-10,"1,87m",right,2023-07-01,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,25
Romain Bayard,Defensive Midfield,1993-10-15,"1,67m",right,2021-07-27,2025-06-30,0.2,FC Stade-Lausanne-Ouchy,5499,30
Edmond Akichi,Defensive Midfield,1990-04-24,"1,78m",right,2022-07-14,2024-06-30,0.2,FC Stade-Lausanne-Ouchy,5499,33
Mischa Eberhard,Central Midfield,2002-04-11,"1,73m",right,2023-07-01,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,21
Elies Mahmoud,Right Midfield,2001-02-10,"1,71m",right,2023-07-11,2025-06-30,0.8,FC Stade-Lausanne-Ouchy,5499,23
Ismaël Gharbi,Attacking Midfield,2004-04-10,"1,73m",right,2023-09-01,2024-06-30,7.5,FC Stade-Lausanne-Ouchy,5499,19
Mergim Qarri,Attacking Midfield,1995-06-10,"1,79m",right,2020-08-06,2025-06-15,0.3,FC Stade-Lausanne-Ouchy,5499,28
Liridon Mulaj,Attacking Midfield,1999-01-04,"1,75m",right,2022-08-19,2024-06-30,0.3,FC Stade-Lausanne-Ouchy,5499,25
Alban Ajdini,Right Winger,1999-07-09,"1,80m",right,2021-07-01,2025-06-15,1.5,FC Stade-Lausanne-Ouchy,5499,24
Vitalie Damaşcan,Centre-Forward,1999-01-24,"1,80m",right,2024-01-15,2024-06-30,0.5,FC Stade-Lausanne-Ouchy,5499,25
Gabriel Kyeremateng,Centre-Forward,1999-04-28,"1,83m",right,2024-01-05,2024-06-30,0.4,FC Stade-Lausanne-Ouchy,5499,24
Charles Abi,Centre-Forward,2000-04-12,"1,86m",left,2023-02-06,,0.3,FC Stade-Lausanne-Ouchy,5499,23
Nathan Garcia ,Centre-Forward,1999-11-22,"1,76m",left,2022-07-01,2024-06-30,0.3,FC Stade-Lausanne-Ouchy,5499,24
Marvin Keller,Goalkeeper,2002-07-03,"1,89m",right,2023-09-13,2024-06-30,1.5,FC Winterthur,242,21
Markus Kuster,Goalkeeper,1994-02-22,"1,95m",right,2023-01-01,2025-06-30,0.4,FC Winterthur,242,30
Armin Abaz,Goalkeeper,2002-03-27,"1,87m",right,2022-07-01,2024-06-30,0.1,FC Winterthur,242,22
Basil Stillhart,Centre-Back,1994-03-24,"1,77m",right,2023-07-01,2026-06-30,0.5,FC Winterthur,242,30
Remo Arnold,Centre-Back,1997-01-17,"1,90m",right,2020-01-01,2026-06-30,0.4,FC Winterthur,242,27
Yannick Schmid,Centre-Back,1995-05-11,"1,84m",right,2022-07-27,2026-06-30,0.3,FC Winterthur,242,28
Loïc Lüthi,Centre-Back,2003-09-30,"1,87m",right,2023-07-01,2025-06-30,0.1,FC Winterthur,242,20
Granit Lekaj ,Centre-Back,1990-02-23,"1,86m",right,2018-07-01,2025-06-30,0.1,FC Winterthur,242,34
Souleymane Diaby,Left-Back,1999-10-08,"1,73m",left,2021-07-03,2025-06-30,0.8,FC Winterthur,242,24
Tobias Schättin ,Left-Back,1997-06-05,"1,85m",left,2021-07-01,2025-06-30,0.3,FC Winterthur,242,26
Adrian Gantenbein,Right-Back,2001-04-18,"1,83m",right,2020-08-14,2025-06-30,0.8,FC Winterthur,242,22
Silvan Sidler,Right-Back,1998-07-07,"1,85m",right,2023-07-01,2025-06-30,0.4,FC Winterthur,242,25
Michael Gonçalves,Right-Back,1995-03-10,"1,74m",right,2020-08-26,2024-06-30,0.2,FC Winterthur,242,29
Adrian Durrer,Defensive Midfield,2001-07-13,"1,88m",right,2024-02-14,2024-06-30,0.2,FC Winterthur,242,22
Thibault Corbaz,Defensive Midfield,1994-01-07,"1,80m",right,2021-07-09,2024-06-30,0.1,FC Winterthur,242,30
Alexandre Jankewitz ,Central Midfield,2001-12-25,"1,85m",right,2023-07-01,2024-06-30,1.0,FC Winterthur,242,22
Musa Araz ,Central Midfield,1994-01-17,"1,73m",left,2023-07-17,2025-06-30,0.3,FC Winterthur,242,30
Luca Zuffi ,Central Midfield,1990-03-27,"1,82m",left,2023-07-01,2025-06-30,0.1,FC Winterthur,242,34
Carmine Chiappetta,Left Midfield,2003-03-09,"1,75m",right,2023-07-01,,0.2,FC Winterthur,242,21
Matteo Di Giusto,Attacking Midfield,2000-08-18,"1,68m",right,2022-07-01,2026-06-30,1.5,FC Winterthur,242,23
Randy Schneider,Attacking Midfield,2001-08-27,"1,70m",right,2023-07-01,2026-06-30,0.8,FC Winterthur,242,22
Francisco Rodríguez ,Attacking Midfield,1995-09-14,"1,77m",right,2022-07-01,2024-06-30,0.1,FC Winterthur,242,28
Sayfallah Ltaief,Left Winger,2000-04-22,"1,78m",right,2023-01-01,2024-06-30,1.5,FC Winterthur,242,23
Boubacar Fofana,Left Winger,1998-09-07,"1,82m",left,2024-01-07,2026-06-30,0.8,FC Winterthur,242,25
Nishan Burkart,Left Winger,2000-01-31,"1,74m",right,2023-07-01,2026-06-30,0.8,FC Winterthur,242,24
Antoine Baroan,Centre-Forward,2000-06-24,"1,88m",left,2024-02-02,2027-06-30,1.6,FC Winterthur,242,23
Aldin Turkes,Centre-Forward,1996-04-22,"1,93m",left,2023-07-01,2025-06-30,0.4,FC Winterthur,242,27
Roman Buess ,Centre-Forward,1992-09-21,"1,83m",left,2019-07-01,2024-06-30,0.1,FC Winterthur,242,31
