Player,Minutes Played,Starting,Substitute,Substituted In,Substituted Out,Position,Age,Market Value,Club
Abdoulaye Diaby,1364,15,10,5,2,Centre-Back,23,,FC St. Gallen 1879
Adrian Durrer,268,3,14,5,2,Defensive Midfield,22,,FC Winterthur
Adrian Gantenbein,1742,18,11,8,4,Right-Back,22,,FC Winterthur
Adrian Grbic,588,6,2,2,3,Centre-Forward,27,,FC Luzern
Adrian Leon Barisic,1468,17,2,1,2,Centre-Back,22,,FC Basel 1893
Adriano Onyegbule,59,1,8,0,1,Attacking Midfield,17,,FC Basel 1893
Adrián Guerrero,1509,16,7,5,0,Left Midfield,26,,FC Zürich
Aimen Mahious,1364,16,5,4,10,Centre-Forward,26,,Yverdon Sport FC
Alban Ajdini,2005,24,5,5,16,Centre-Forward,24,,FC Stade-Lausanne-Ouchy
Albert Vallci,2700,30,0,0,0,Centre-Back,28,,FC St. Gallen 1879
Albian Ajeti,46,0,2,2,0,Centre-Forward,26,,FC Basel 1893
Albian Hajdari,2191,26,3,2,6,Centre-Back,20,,FC Lugano
Albin Krasniqi,178,0,17,8,0,Right Winger,20,,FC St. Gallen 1879
Aldin Turkes,1392,17,9,7,9,Centre-Forward,27,,FC Winterthur
Alexander Lyng,0,0,8,0,0,Right Winger,19,,Servette FC
Alexandre Jankewitz,1419,18,1,0,8,Defensive Midfield,22,,FC Winterthur
Alexis Antunes,1508,18,6,4,13,Attacking Midfield,23,,Servette FC
Aliou Baldé,430,5,0,0,1,Right Winger,20,,FC Lausanne-Sport
Allan Arigoni,982,13,3,2,8,Right-Back,25,,FC Lugano
Alvyn Sanches,1455,16,5,5,7,Central Midfield,21,,FC Lausanne-Sport
Amadou Dante,630,7,1,1,1,Left-Back,23,,FC Zürich
Amir Abrashi,2462,29,0,0,8,Central Midfield,34,,Grasshopper Club Zurich
Amir Saipi,2400,27,0,0,1,Goalkeeper,23,,FC Lugano
Andrin Hunziker,44,0,4,1,0,Centre-Forward,20,,FC Basel 1893
Anel Husic,1476,16,12,3,2,Centre-Back,23,,FC Lausanne-Sport
Anthony Baron,737,8,11,3,2,Centre-Back,31,,Servette FC
Anthony Racioppi,1350,15,16,0,0,Goalkeeper,25,,BSC Young Boys
Anthony Sauthier,2135,24,1,1,3,Right-Back,33,,Yverdon Sport FC
Anto Grgic,1422,16,5,4,4,Defensive Midfield,27,,FC Lugano
Antoine Baroan,224,3,2,2,3,Centre-Forward,23,,FC Winterthur
Antoine Bernede,2728,31,0,0,6,Central Midfield,24,,FC Lausanne-Sport
Anton Kade,1765,22,5,1,8,Left Midfield,20,,FC Basel 1893
Antonio Marchesano,1914,21,8,8,16,Attacking Midfield,33,,FC Zürich
Arad Bar,0,0,4,0,0,Central Midfield,23,,FC Zürich
Archie Brown,270,3,0,0,0,Left-Back,21,,FC Lausanne-Sport
Ardon Jashari,2445,27,2,2,3,Defensive Midfield,21,,FC Luzern
Armstrong Oko-Flex,202,1,24,11,1,Left Winger,22,,FC Zürich
Arnau Comas,482,7,0,0,5,Centre-Back,23,,FC Basel 1893
Asumah Abubakar,844,8,13,8,5,Centre-Forward,26,,Grasshopper Club Zurich
Aurèle Amenda,1521,17,13,1,1,Centre-Back,20,,BSC Young Boys
Awer Mabil,696,8,5,5,6,Left Winger,28,,Grasshopper Club Zurich
Axel Kayombo,58,0,3,2,0,Right Winger,18,,FC Basel 1893
Ayman El Wafi,910,9,21,5,3,Centre-Back,19,,FC Lugano
Ayumu Seko,2374,26,5,4,4,Centre-Back,23,,Grasshopper Club Zurich
Basil Stillhart,2137,22,6,6,7,Centre-Back,30,,FC Winterthur
Bastien Toma,1435,17,7,4,16,Central Midfield,24,,FC St. Gallen 1879
Bela Dumrath,0,0,5,0,0,Goalkeeper,20,,FC St. Gallen 1879
Bendegúz Bolla,1046,11,14,11,7,Right Midfield,24,,Servette FC
Benjamin Kabeya,0,0,1,0,0,Defensive Midfield,22,,BSC Young Boys
Benjamin Kololli,619,9,1,1,9,Left Midfield,31,,FC Basel 1893
Berkay Dabanli,1037,11,17,5,2,Centre-Back,33,,FC Lausanne-Sport
Betim Fazliji,839,10,2,2,8,Defensive Midfield,24,,FC St. Gallen 1879
Bledian Krasniqi,1388,15,12,8,4,Attacking Midfield,22,,FC Zürich
Boris Babic,182,2,16,7,2,Centre-Forward,26,,FC Lugano
Boris Céspedes,2311,26,3,2,5,Defensive Midfield,28,,Yverdon Sport FC
Boubacar Fofana,741,7,12,8,7,Left Winger,25,,Servette FC
Bradley Fink,1107,12,17,15,10,Centre-Forward,20,,Grasshopper Club Zurich
Bradley Mazikou,1918,23,4,0,6,Left-Back,27,,Servette FC
Breston Malula,641,8,8,3,5,Centre-Back,23,,Yverdon Sport FC
Brian Beyer,309,3,4,3,2,Centre-Forward,26,,Yverdon Sport FC
Brighton Labeau,1236,11,19,18,5,Centre-Forward,28,,FC Lausanne-Sport
Carmine Chiappetta,1,0,6,1,0,Left Midfield,21,,FC Winterthur
Cedric Itten,1252,13,11,11,10,Centre-Forward,27,,BSC Young Boys
Chadrac Akolo,1816,23,8,7,17,Centre-Forward,29,,FC St. Gallen 1879
Charles Abi,19,0,1,1,0,Centre-Forward,23,,FC Stade-Lausanne-Ouchy
Cheick Condé,2345,26,1,1,6,Central Midfield,23,,FC Zürich
Cheikh Niasse,1581,17,10,7,8,Defensive Midfield,24,,BSC Young Boys
Cheveyo Tsawa,46,1,1,0,1,Attacking Midfield,17,,FC Zürich
Chima Okoroji,1184,12,15,9,7,Left-Back,26,,FC St. Gallen 1879
Chris Bedia,1249,14,3,3,7,Centre-Forward,27,,Servette FC
Chris Kablan,749,8,15,7,5,Left-Back,29,,FC Lausanne-Sport
Christian Marques,675,8,11,0,3,Centre-Back,21,,Yverdon Sport FC
Christian Witzig,2224,26,1,1,8,Left Midfield,23,,FC St. Gallen 1879
Christopher Lungoyi,1265,15,7,6,13,Left Winger,23,,Yverdon Sport FC
Corsin Konietzke,127,0,9,6,0,Defensive Midfield,17,,FC St. Gallen 1879
Damian Nigg,62,0,5,3,0,Left Winger,18,,Grasshopper Club Zurich
Dan Ndoye,180,2,0,0,0,Left Midfield,22,,FC Basel 1893
Daniel Afriyie,1709,20,10,9,17,Centre-Forward,22,,FC Zürich
Dany Da Silva,1620,18,7,0,0,Goalkeeper,31,,FC Stade-Lausanne-Ouchy
Darian Males,1546,18,8,8,13,Right Midfield,22,,BSC Young Boys
Dario Del Fabro,2243,24,4,3,1,Centre-Back,29,,Yverdon Sport FC
Dario Marzino,0,0,1,0,0,Goalkeeper,27,,BSC Young Boys
Dario Ulrich,911,8,22,9,2,Right-Back,26,,FC Luzern
David Douline,827,9,8,5,4,Defensive Midfield,30,,Servette FC
David von Ballmoos,1440,16,9,0,0,Goalkeeper,29,,BSC Young Boys
Demir Xhemalija,0,0,1,0,0,Defensive Midfield,17,,FC Basel 1893
Denis Simani,2100,24,3,0,5,Centre-Back,32,,FC Luzern
Dereck Kutesa,2098,24,5,5,15,Right Midfield,26,,Servette FC
Diego Mina,0,0,2,0,0,Goalkeeper,18,,FC Lugano
Dijon Kameri,252,2,4,4,2,Attacking Midfield,19,,Grasshopper Club Zurich
Dimitrije Kamenovic,401,5,1,1,2,Left Midfield,23,,Yverdon Sport FC
Dion Kacuri,535,4,17,10,2,Attacking Midfield,20,,Grasshopper Club Zurich
Dircssi Ngonzo,0,0,2,0,0,Centre-Back,18,,FC Lausanne-Sport
Dirk Abels,1570,18,0,0,4,Right-Back,26,,Grasshopper Club Zurich
Djordje Jovanovic,1227,14,7,4,8,Centre-Forward,25,,FC Basel 1893
Dominic Corness,712,6,21,13,4,Central Midfield,20,,Yverdon Sport FC
Dominik Schmid,2408,28,1,1,6,Left-Back,26,,FC Basel 1893
Dominik Schwizer,127,1,18,6,1,Left Midfield,27,,FC Lausanne-Sport
Donat Rrudhani,772,9,15,8,7,Right Midfield,24,,FC Lausanne-Sport
Donis Avdijaj,43,0,4,2,0,Left Winger,26,,FC Zürich
Dorian Babunski,1090,12,14,11,10,Centre-Forward,27,,Grasshopper Club Zurich
Dylan Bronn,366,4,3,1,0,Centre-Back,28,,Servette FC
Dylan Ouedraogo,787,10,9,1,4,Centre-Back,25,,FC Stade-Lausanne-Ouchy
Ebrima Colley,968,11,12,9,10,Right Winger,24,,BSC Young Boys
Edmond Akichi,2104,23,3,3,6,Central Midfield,33,,FC Stade-Lausanne-Ouchy
Eliah Jordan,0,0,2,0,0,Right-Back,17,,FC Basel 1893
Elies Mahmoud,1749,19,7,7,8,Left-Back,23,,FC Stade-Lausanne-Ouchy
Elmin Rastoder,101,0,12,6,0,Centre-Forward,22,,Grasshopper Club Zurich
Elvir Zukaj,12,0,22,1,0,Centre-Back,21,,Grasshopper Club Zurich
Emmanuel Essiam,368,2,10,8,1,Central Midfield,19,,FC Stade-Lausanne-Ouchy
Enzo Crivelli,1327,13,11,11,8,Centre-Forward,29,,Servette FC
Evans Maurin,275,3,8,5,3,Centre-Forward,22,,Yverdon Sport FC
Fabian Frei,2265,26,2,2,5,Centre-Back,35,,FC Basel 1893
Fabian Lustenberger,899,9,19,5,1,Centre-Back,35,,BSC Young Boys
Fabian Rieder,270,3,0,0,0,Attacking Midfield,21,,BSC Young Boys
Fabian Rohner,602,6,20,15,6,Right Winger,25,,FC Zürich
Fabian Schubert,541,3,25,18,3,Centre-Forward,29,,FC St. Gallen 1879
Fabio Daprelà,1366,18,11,1,9,Centre-Back,33,,FC Zürich
Fabio Lymann,0,0,1,0,0,Right Midfield,21,,FC St. Gallen 1879
Felix Mambimbi,154,0,14,10,0,Left Winger,23,,FC St. Gallen 1879
Filip Ugrinic,1718,21,0,0,10,Attacking Midfield,25,,BSC Young Boys
Filipe de Carvalho,1208,15,13,10,14,Left Midfield,20,,Grasshopper Club Zurich
Finn van Breemen,1699,17,9,6,2,Centre-Back,21,,FC Basel 1893
Florian Danho,929,9,6,6,3,Centre-Forward,23,,FC Stade-Lausanne-Ouchy
Florian Hoxha,1107,12,19,4,7,Left-Back,23,,Grasshopper Club Zurich
Fousseni Diabaté,1360,16,4,4,13,Right Winger,28,,FC Lausanne-Sport
Francis Momoh,1303,14,10,8,10,Centre-Forward,23,,Grasshopper Club Zurich
Francisco Rodríguez,0,0,3,0,0,Attacking Midfield,28,,FC Winterthur
Gabriel Kyeremateng,357,4,9,5,4,Centre-Forward,24,,FC Stade-Lausanne-Ouchy
Gabriel Sigua,468,5,10,7,4,Central Midfield,18,,FC Basel 1893
Gaël Ondoua,1872,20,8,6,3,Central Midfield,28,,Servette FC
Giotto Morandi,1700,20,5,5,12,Attacking Midfield,25,,Grasshopper Club Zurich
Giovani Bamba,1049,13,13,5,8,Defensive Midfield,24,,FC Stade-Lausanne-Ouchy
Granit Lekaj,1419,16,3,0,1,Centre-Back,34,,FC Winterthur
Grégory Karlen,668,9,9,5,8,Attacking Midfield,29,,FC St. Gallen 1879
Gábor Szalai,720,8,2,0,0,Centre-Back,23,,FC Lausanne-Sport
Haithem Loucif,946,11,14,10,9,Right-Back,27,,Yverdon Sport FC
Hamza Abdallah,0,0,1,0,0,Right-Back,20,,FC Lausanne-Sport
Hicham Mahou,1042,12,8,7,10,Right Winger,24,,FC Lugano
Hugo Fargues,138,2,1,0,2,Attacking Midfield,31,,Yverdon Sport FC
Hugo Vogel,6,0,2,1,0,Left-Back,19,,FC Basel 1893
Hussayn Touati,146,1,16,5,1,Left Winger,22,,Servette FC
Ibrahim Diakité,488,6,0,0,2,Right-Back,20,,FC Stade-Lausanne-Ouchy
Ifeanyi Mathew,2694,31,0,0,5,Central Midfield,27,,FC Zürich
Ignacio Aliseda,543,5,5,5,2,Left Winger,24,,FC Lugano
Isaac Schmidt,2154,25,3,3,11,Left-Back,24,,FC St. Gallen 1879
Ismajl Beka,821,10,0,0,2,Centre-Back,23,,FC Luzern
Ismaël Gharbi,1657,20,3,3,8,Left Midfield,19,,FC Stade-Lausanne-Ouchy
Issa Kaloga,0,0,2,0,0,Right-Back,19,,Servette FC
Ivan Santini,112,0,30,11,0,Centre-Forward,34,,FC Zürich
Iwan Hegglin,0,0,1,0,0,Attacking Midfield,21,,FC Luzern
Jakub Kadák,842,10,18,11,10,Attacking Midfield,23,,FC Luzern
Jamal Camcı,0,0,1,0,0,Centre-Forward,17,,FC Basel 1893
Jamie Roche,1725,18,10,5,3,Defensive Midfield,22,,FC Lausanne-Sport
Jaouen Hadjam,566,6,6,3,3,Left-Back,21,,BSC Young Boys
Jarell Njiké Simo,0,0,1,0,0,Central Midfield,19,,Servette FC
Jashar Dema,0,0,1,0,0,Central Midfield,18,,BSC Young Boys
Jason Parente,5,0,1,1,0,Left Midfield,17,,FC St. Gallen 1879
Jean-Kévin Augustin,817,8,15,10,7,Centre-Forward,26,,FC Basel 1893
Jean-Pierre Nsame,1036,12,7,6,10,Centre-Forward,30,,BSC Young Boys
Jesper Löfgren,1034,11,2,1,0,Centre-Back,26,,FC Luzern
Jhon Espinoza,1553,13,18,17,4,Right-Back,25,,FC Lugano
Joel Mvuka,363,2,10,9,2,Right Winger,21,,BSC Young Boys
Johan Kury,19,0,6,1,0,Right Winger,21,,Yverdon Sport FC
Johan Nkama,94,0,14,6,0,Defensive Midfield,26,,FC Lugano
Johann Angstmann,0,0,1,0,0,Centre-Forward,20,,FC Lugano
Jonas Adjetey,258,2,11,2,0,Centre-Back,20,,FC Basel 1893
Jonathan Dubasin,457,6,8,4,6,Left Winger,23,,FC Basel 1893
Jonathan Okita,2323,28,2,2,19,Left Winger,27,,FC Zürich
Jonathan Sabbatini,2102,21,9,8,4,Central Midfield,36,,FC Lugano
Jordi Quintillà,2121,24,0,0,2,Defensive Midfield,30,,FC St. Gallen 1879
Joshua Laws,1362,16,4,2,2,Centre-Back,26,,Grasshopper Club Zurich
Jovan Milosevic,137,2,2,2,2,Centre-Forward,18,,FC St. Gallen 1879
Jozef Pukaj,0,0,6,0,0,Goalkeeper,23,,FC Winterthur
Jozo Stanic,1524,17,6,1,1,Centre-Back,24,,FC St. Gallen 1879
Joël Mall,2025,23,4,0,1,Goalkeeper,33,,Servette FC
Joël Monteiro,1647,21,9,8,16,Centre-Forward,24,,BSC Young Boys
Juan Carlos Gauto,814,11,14,7,10,Right Winger,19,,FC Basel 1893
Julian Von Moos,1217,13,7,7,12,Right Winger,23,,FC St. Gallen 1879
Junior Ligue,180,2,11,4,2,Centre-Forward,19,,FC Zürich
Junior Zé,147,0,11,7,0,Left Winger,18,,FC Basel 1893
Justin Hammel,2700,30,0,0,0,Goalkeeper,23,,Grasshopper Club Zurich
Justin Janitzek,7,0,12,1,0,Centre-Back,20,,FC St. Gallen 1879
Justin Reynolds,0,0,1,0,0,Right-Back,19,,FC Lugano
Jérémy Frick,675,7,17,1,0,Goalkeeper,31,,Servette FC
Jérémy Guillemenot,1126,13,16,13,7,Centre-Forward,26,,Servette FC
Jérémy Vachoux,1170,13,9,0,0,Goalkeeper,29,,FC Stade-Lausanne-Ouchy
Jérôme Onguéné,76,1,5,1,1,Centre-Back,25,,Servette FC
Kacper Przybylko,10,0,6,2,0,Centre-Forward,31,,FC Lugano
Kaly Sène,2129,26,3,3,20,Centre-Forward,22,,FC Lausanne-Sport
Karlo Letica,2340,26,1,0,0,Goalkeeper,27,,FC Lausanne-Sport
Kastriot Imeri,128,1,4,4,1,Left Midfield,23,,BSC Young Boys
Keigo Tsunemoto,2036,23,2,0,2,Right-Back,25,,Servette FC
Kemal Ademi,288,2,9,8,2,Centre-Forward,28,,FC Luzern
Kevin Carlos,1719,17,12,12,5,Centre-Forward,22,,Yverdon Sport FC
Kevin Martin,1170,13,17,0,0,Goalkeeper,28,,Yverdon Sport FC
Kevin Rüegg,588,6,14,9,4,Right-Back,25,,FC Basel 1893
Kevin Spadanuda,423,3,14,11,3,Left Winger,27,,FC Luzern
Kreshnik Hajrizi,1611,18,6,3,2,Centre-Back,24,,FC Lugano
Kristers Tobers,2283,26,0,0,1,Centre-Back,23,,Grasshopper Club Zurich
Lamine Gassama,1041,13,5,1,8,Right-Back,34,,FC Stade-Lausanne-Ouchy
