Rank,Club,Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Goal Difference,Points,Title 1,Title 2,Season
1,BSC Young Boys,19,12,5,2,41,17,24,41,Schweizer Meister 2023,Schweizer Cupsieger 2023,2023
2,FC St. Gallen,19,11,3,5,34,21,13,36,,,2023
3,FC Zürich,19,8,8,3,31,17,14,32,,,2023
4,Servette FC,19,8,8,3,33,25,8,32,,,2023
5,FC Lugano,19,8,2,9,34,33,1,26,,,2023
6,FC Luzern,19,7,4,8,25,31,-6,25,,,2023
7,Yverdon Sport,19,6,6,7,25,38,-13,24,,,2023
8,FC Winterthur,19,6,5,8,35,42,-7,23,,,2023
9,Grasshoppers,19,6,3,10,27,27,0,21,,,2023
10,Lausanne-Sport,19,5,5,9,25,31,-6,20,,,2023
11,FC Basel,19,5,4,10,23,33,-10,19,,,2023
12,Stade-Lausanne,19,3,5,11,22,40,-18,14,,,2023
1,BSC Young Boys,36,21,11,4,82,30,52,74,,,2022
2,Servette FC,36,14,16,6,53,48,5,58,,,2022
3,FC Lugano,36,15,12,9,59,47,12,57,Schweizer Cupsieger 2022,,2022
4,FC Luzern,36,13,11,12,56,52,4,50,,,2022
5,FC Basel,36,11,14,11,51,50,1,47,,,2022
6,FC St. Gallen,36,11,12,13,66,52,14,45,,,2022
7,Grasshoppers,36,12,8,16,56,64,-8,44,,,2022
8,FC Zürich,36,10,14,12,41,55,-14,44,Schweizer Meister 2022,,2022
9,FC Winterthur,36,8,8,20,32,66,-34,32,,,2022
10,FC Sion,36,7,10,19,41,73,-32,31,,,2022
1,FC Zürich,36,23,7,6,78,46,32,76,,,2021
2,FC Basel,36,15,17,4,70,41,29,62,,,2021
3,BSC Young Boys,36,16,12,8,80,50,30,60,Schweizer Meister 2021,,2021
4,FC Lugano,36,16,6,14,50,54,-4,54,,,2021
5,FC St. Gallen,36,14,8,14,68,63,5,50,,,2021
6,Servette FC,36,12,8,16,50,66,-16,44,,,2021
7,FC Sion,36,11,8,17,46,67,-21,41,,,2021
8,Grasshoppers,36,9,13,14,54,58,-4,40,,,2021
9,FC Luzern,36,9,13,14,52,64,-12,40,Schweizer Cupsieger 2021,,2021
10,Lausanne-Sport,36,4,10,22,37,76,-39,22,,,2021
1,BSC Young Boys,36,25,9,2,74,29,45,84,Schweizer Meister 2020,Schweizer Cupsieger 2020,2020
2,FC Basel,36,15,8,13,60,53,7,53,,,2020
3,Servette FC,36,14,8,14,45,56,-11,50,,,2020
4,FC Lugano,36,12,13,11,40,42,-2,49,,,2020
5,FC Luzern,36,12,10,14,62,59,3,46,,,2020
6,Lausanne-Sport,36,12,10,14,52,55,-3,46,,,2020
7,FC St. Gallen,36,11,11,14,45,48,-3,44,,,2020
8,FC Zürich,36,11,10,15,53,57,-4,43,,,2020
9,FC Sion,36,8,14,14,48,58,-10,38,,,2020
10,FC Vaduz,36,9,9,18,36,58,-22,36,,,2020
1,BSC Young Boys,36,23,7,6,80,41,39,76,Schweizer Meister 2019,,2019
2,FC St. Gallen,36,21,5,10,79,56,23,68,,,2019
3,FC Basel,36,18,8,10,74,38,36,62,Schweizer Cupsieger 2019,,2019
4,Servette FC,36,12,13,11,57,48,9,49,,,2019
5,FC Lugano,36,11,14,11,46,46,0,47,,,2019
6,FC Luzern,36,13,7,16,42,50,-8,46,,,2019
7,FC Zürich,36,12,7,17,45,72,-27,43,,,2019
8,FC Sion,36,10,9,17,40,55,-15,39,,,2019
9,FC Thun,36,10,8,18,45,67,-22,38,,,2019
10,Neuchâtel Xamax,36,5,12,19,33,68,-35,27,,,2019
1,BSC Young Boys,36,29,4,3,99,36,63,91,Schweizer Meister 2018,,2018
2,FC Basel,36,20,11,5,71,46,25,71,,,2018
3,FC Lugano,36,10,16,10,50,49,1,46,,,2018
4,FC Thun,36,12,10,14,57,58,-1,46,,,2018
5,FC Luzern,36,14,4,18,56,61,-5,46,,,2018
6,FC St. Gallen,36,13,7,16,49,58,-9,46,,,2018
7,FC Zürich,36,11,11,14,43,52,-9,44,Schweizer Cupsieger 2018,,2018
8,FC Sion,36,12,7,17,50,55,-5,43,,,2018
9,Neuchâtel Xamax,36,9,10,17,44,65,-21,37,,,2018
10,Grasshoppers,36,5,10,21,32,71,-39,25,,,2018
1,BSC Young Boys,36,26,6,4,84,41,43,84,,,2017
2,FC Basel,36,20,9,7,72,36,36,69,Schweizer Meister 2017,Schweizer Cupsieger 2017,2017
3,FC Luzern,36,15,9,12,51,51,0,54,,,2017
4,FC Zürich,36,12,13,11,50,44,6,49,,,2017
5,FC St. Gallen,36,14,3,19,52,72,-20,45,,,2017
6,FC Sion,36,11,9,16,53,56,-3,42,,,2017
7,FC Thun,36,12,6,18,53,68,-15,42,,,2017
8,FC Lugano,36,12,6,18,38,55,-17,42,,,2017
9,Grasshoppers,36,10,9,17,43,52,-9,39,,,2017
10,Lausanne-Sport,36,9,8,19,46,67,-21,35,,,2017
1,FC Basel,36,26,8,2,92,35,57,86,Schweizer Meister 2016,,2016
2,BSC Young Boys,36,20,9,7,72,44,28,69,,,2016
3,FC Lugano,36,15,8,13,52,61,-9,53,,,2016
4,FC Sion,36,15,6,15,60,55,5,51,,,2016
5,FC Luzern,36,14,8,14,62,66,-4,50,,,2016
6,FC Thun,36,11,12,13,58,63,-5,45,,,2016
7,FC St. Gallen,36,11,8,17,43,57,-14,41,,,2016
8,Grasshoppers,36,10,8,18,47,61,-14,38,,,2016
9,Lausanne-Sport,36,9,8,19,51,62,-11,35,,,2016
10,FC Vaduz,36,7,9,20,45,78,-33,30,Liechtensteiner Cupsieger 2016,,2016
1,FC Basel,36,26,5,5,88,38,50,83,Schweizer Meister 2015,,2015
2,BSC Young Boys,36,20,9,7,78,47,31,69,,,2015
3,FC Luzern,36,15,9,12,59,50,9,54,,,2015
4,Grasshoppers,36,15,8,13,65,56,9,53,,,2015
5,FC Sion,36,14,8,14,52,49,3,50,Schweizer Cupsieger 2015,,2015
6,FC Thun,36,10,11,15,45,54,-9,41,,,2015
7,FC St. Gallen,36,10,8,18,41,66,-25,38,,,2015
8,FC Vaduz,36,7,15,14,44,60,-16,36,Liechtensteiner Cupsieger 2015,,2015
9,FC Lugano,36,9,8,19,46,75,-29,35,,,2015
10,FC Zürich,36,7,13,16,48,71,-23,34,,,2015
1,FC Basel,36,24,6,6,84,41,43,78,Schweizer Meister 2014,,2014
2,BSC Young Boys,36,19,9,8,64,45,19,66,,,2014
3,FC Zürich,36,15,8,13,55,48,7,53,Schweizer Cupsieger 2014,,2014
4,FC Thun,36,13,13,10,47,45,2,52,,,2014
5,FC Luzern,36,12,11,13,54,46,8,47,,,2014
6,FC St. Gallen,36,13,8,15,57,65,-8,47,,,2014
7,FC Sion,36,12,9,15,47,48,-1,45,,,2014
8,Grasshoppers,36,11,10,15,50,56,-6,43,,,2014
9,FC Vaduz,36,7,10,19,28,59,-31,31,Liechtensteiner Cupsieger 2014,,2014
10,FC Aarau,36,6,12,18,31,64,-33,30,,,2014
